,id_student,num_of_prev_attempts,studied_credits,assessments_submitted_cutoff,avg_assessment_score_cutoff,sum_weighted_score_cutoff,latest_submit_day_cutoff,total_clicks_cutoff,interactions_cutoff,active_days_cutoff,daily_clicks_mean_cutoff,daily_clicks_std_cutoff,avg_clicks_per_active_day_cutoff,clicks_cutoff_dataplus,clicks_cutoff_dualpane,clicks_cutoff_externalquiz,clicks_cutoff_forumng,clicks_cutoff_glossary,clicks_cutoff_homepage,clicks_cutoff_htmlactivity,clicks_cutoff_oucollaborate,clicks_cutoff_oucontent,clicks_cutoff_ouelluminate,clicks_cutoff_ouwiki,clicks_cutoff_page,clicks_cutoff_questionnaire,clicks_cutoff_quiz,clicks_cutoff_repeatactivity,clicks_cutoff_resource,clicks_cutoff_sharedsubpage,clicks_cutoff_subpage,clicks_cutoff_url
id_student,1.0,0.007397185399219976,-0.00595572468340785,-0.008694558337251313,0.03159055243769285,0.010695652733111941,-0.015200353955559655,0.04475773751654941,0.051665414772427594,0.04494994221782991,0.03515020742354579,0.015288852886353574,0.03515020742354579,0.0507995943273351,0.003943779506239288,0.03612757767121761,0.03748323587395008,0.006811937411138383,0.04363998555138242,0.011765613713737442,0.026078784528098656,0.02928282569811688,0.004527883371837201,0.03407826549781255,-0.014235970152508345,0.007710038639384305,0.009720218006531027,-0.002655819377257623,0.018927652419098294,-0.005118282214737946,0.04606162744942676,0.03399825147878876
num_of_prev_attempts,0.007397185399219976,1.0,0.19817631403175523,0.05040351034926148,-0.06889635372839469,-0.013291215119909397,-0.08703816381235999,-0.06571992224075364,-0.0743929535065963,-0.08728514425740408,-0.06147274584648478,-0.052134307650289015,-0.06147274584648478,-0.017315193831363675,-0.03592336991374831,0.016988125023083604,-0.03391572557203986,-0.0009320747423241009,-0.05385410363350841,-0.02200353897391362,-0.03184140533879369,-0.056505046830016524,0.00986545817507427,-0.013674190676493276,-0.009197767090149715,-0.020929656142442854,-0.06049288789653675,-0.0029528794686822556,-0.03593307030229818,-0.003267143051747996,-0.03289460519720249,-0.04160367050295863
studied_credits,-0.00595572468340785,0.19817631403175523,1.0,0.1937297636175316,-0.0014153172890483804,0.18005486849914595,0.10876585242285855,0.05989229893331049,0.08386007198664466,0.09530320200069317,0.024098569084931753,0.04728650458017916,0.024098569084931753,-0.0006438983001516044,0.004524299501383589,0.02173061489358789,0.029470869133502935,2.5866691279765167e-05,0.06536410140574217,0.05376860109600827,0.015572154573513873,0.03087742985112594,0.025392636194927196,0.055704145803511455,0.0804433604291123,0.069559299039617,0.03864464807923769,0.016791777178029297,0.012770908347282513,0.007302971516058615,0.1045384770323467,0.013212389419931964
assessments_submitted_cutoff,-0.008694558337251313,0.05040351034926148,0.1937297636175316,1.0,0.2086482427216885,0.5199889976167679,0.6211674641576614,0.11120212838071995,0.20066576603012692,0.2440301378803844,-0.025899272559512763,-0.06647521323439312,-0.025899272559512763,-0.03947317200949817,-0.04092380257067317,0.2514576243925523,0.18807655106182042,0.026918536898305027,0.15540802247323823,0.0038692458939051416,-0.022259502520315173,-0.0936537063757196,0.162298567738255,0.15761342294851807,0.018572668217328028,0.025448065428405765,-0.005484602778789645,0.001198424965221434,0.06739807258928592,0.08819301109360703,0.17792297906541887,0.2283145811213709
avg_assessment_score_cutoff,0.03159055243769285,-0.06889635372839469,-0.0014153172890483804,0.2086482427216885,1.0,0.4980473442846621,0.20084154280380853,0.2456906825853505,0.2830364381885345,0.31893415292672633,0.14353926412412357,0.09377550009763798,0.14353926412412357,-0.008234160114016932,0.09042675409640283,0.037692345408585626,0.20073424404848614,0.031131286345537662,0.22222215622453173,0.053541141986074306,0.0765019884461285,0.14347646652360854,0.039236440095604536,0.11295865168443395,0.0511915171214906,0.10849628094040206,0.1603124470209949,-6.056957509619046e-05,0.05633120087567449,0.01866661043019832,0.1573508468346223,0.1844259745425218
sum_weighted_score_cutoff,0.010695652733111941,-0.013291215119909397,0.18005486849914595,0.5199889976167679,0.4980473442846621,1.0,0.60923010476065,0.4293364089068096,0.4967803865486234,0.5028108453096436,0.29578888649512314,0.16937811686767193,0.29578888649512314,-0.006638620600040616,0.2704565584153964,0.0762103206624307,0.2777455669346326,0.015506581338829,0.3434100499604698,0.21155665822574188,0.13201439062994144,0.41294495008687937,0.13748143037266233,0.3341131054643871,0.3164622057256982,0.3833110421166697,0.14920052085646796,0.008282748308353826,0.026509063114936927,0.02909214354802326,0.40010128896132247,0.3136430882740012
latest_submit_day_cutoff,-0.015200353955559655,-0.08703816381235999,0.10876585242285855,0.6211674641576614,0.20084154280380853,0.60923010476065,1.0,0.2570422439476207,0.30947976132343225,0.3143142579166032,0.16026812497274576,0.08092805694553298,0.16026812497274576,-0.04259477655552596,0.12865836448692178,0.040478579330958844,0.1875461015280638,-0.003556256258499267,0.20326445176505467,0.16144389749173543,0.045228341185721346,0.17318160284772618,0.09343134596088203,0.22069345188681871,0.21056195552612006,0.26549763319811254,0.13622018907472247,0.010761656715128203,0.052210554727633134,0.055462460150889924,0.2842126221965849,0.14191127819087307
total_clicks_cutoff,0.04475773751654941,-0.06571992224075364,0.05989229893331049,0.11120212838071995,0.2456906825853505,0.4293364089068096,0.2570422439476207,1.0,0.9199101954288263,0.7906091619880116,0.740846128435137,0.5178624185929236,0.740846128435137,0.07036430513741274,0.37162383588005304,0.08203679386353785,0.7593220409232423,0.06643890628822799,0.8629181936139843,0.25154133904448067,0.28759386645993334,0.7401801731181992,0.24438014765767818,0.4768088989227653,0.49356514295740833,0.5516509887275387,0.5738315614359415,0.034641154289726396,0.252084178989037,0.028382444934863967,0.7310486875969819,0.4495968857977402
interactions_cutoff,0.051665414772427594,-0.0743929535065963,0.08386007198664466,0.20066576603012692,0.2830364381885345,0.4967803865486234,0.30947976132343225,0.9199101954288263,1.0,0.9093206094774268,0.5895011532127659,0.3574097655849246,0.5895011532127659,0.06345134501327596,0.3451046543178414,0.2226715985590747,0.6630292441976474,0.09141495408974817,0.823597718364757,0.2477422630889295,0.34398125608455643,0.6721497728460595,0.28973341334932684,0.5554773412875083,0.488628948478326,0.5417755596457237,0.4679170623729509,0.026278656490956356,0.2756644462194749,0.027962998741476758,0.8077502354776269,0.5135904277148887
active_days_cutoff,0.04494994221782991,-0.08728514425740408,0.09530320200069317,0.2440301378803844,0.31893415292672633,0.5028108453096436,0.3143142579166032,0.7906091619880116,0.9093206094774268,1.0,0.373435996501592,0.23327664070166165,0.373435996501592,0.07192609823955497,0.2655265114594748,0.242350650216615,0.5883429367123133,0.09060550626966314,0.7595596808901861,0.1758042103351746,0.32683343217233624,0.557133469793069,0.22685748051416565,0.45937020140344226,0.34363105281581713,0.40305309450729043,0.3696680083808115,0.021398809953326943,0.2456856859188512,0.03778657666870827,0.6522706844425296,0.49125381954399405
